Bigram,Frequency
No le,1
le mientas,1
mientas al,1
al niño,1
Una ninfomana,1
Dicho por,1
por ti,1
De verdad,3
verdad te,1
te voy,1
voy a,2
a agarrar,1
agarrar a,1
a putazos,1
Ta bueno,1
Te creo,1
Yo soy,1
soy soy,1
soy pendejo,1
Es vato,1
Esta descocado,1
Ayyy nooo,1
Tienes fotos,1
fotos de,1
de el,1
el ?,1
Escribí mal,1
Que bonitoooooo,1
Ay lo,1
lo siento,5
siento mucho,3
"mucho ,",1
", de",1
de verdad,1
verdad lo,3
Tuvo una,1
una vida,1
vida larga,1
larga y,1
y probablemente,1
probablemente llena,1
llena de,1
de amor,1
Que bonitoooo,1
bonitoooo con,1
con su,1
su correa,1
Es lo,1
lo mas,1
mas difícil,1
difícil de,1
de tener,1
tener un,1
un amigo,1
amigo así,1
"así ,",1
", no",1
Me imagino,2
"imagino ,",1
", 15",1
15 años,1
años ...,1
... creció,1
creció prácticamente,1
prácticamente contigo,1
Oh no,1
Ay ...,1
imagino lo,1
lo doloroso,1
doloroso qué,1
qué fue,1
fue pero,1
pero al,1
al menos,1
menos tienes,1
tienes todos,1
todos esos,1
esos momentos,1
momentos bellos,1
bellos y,1
y eso,1
eso es,1
es lo,1
lo importante,2
importante .,1
. Amor,1
Amor no,1
no le,2
le falto,3
falto y,1
y es,2
es bueno,2
bueno saber,1
saber que,1
se fue,1
fue feliz,1
Tqm niña,1
Te mando,1
mando un,1
un abrazo,1
Ayy noooo,1
Esta bien,2
bien recordar,1
recordar de,1
de vez,1
vez en,1
en cuando,1
Supongo que,1
que conoces,1
conoces el,1
el día,1
día de,1
de muertos,1
muertos qué,1
qué se,1
se celebra,1
celebra en,1
en México,1
México no,1
Muchas familias,1
familias pone,1
pone a,1
a sus,2
sus mascotas,1
mascotas junto,1
junto a,1
sus seres,1
seres queridos,1
queridos como,1
como parte,1
parte de,1
de la,1
la ofrenda,1
ofrenda y,1
es bonito,1
Es una,2
una forma,1
forma de,1
de decir,1
decir ``,1
`` no,1
no los,1
los hemos,1
hemos olvidado,1
olvidado '',1
Y siempre,1
siempre es,1
bueno recordar,1
"recordar ,",1
", aunque",1
aunque te,1
te gane,1
gane el,1
el sentimiento,1
sentimiento lo,1
importante es,2
es nunca,1
nunca olvidar,1
olvidar todo,1
todo los,1
los buenos,1
buenos momentos,1
"Noooo ,",1
", lo",1
siento por,1
por abrir,1
abrir una,1
una herida,1
Estoy seguro,2
seguro que,2
que el,1
el sea,1
sea en,1
en donde,2
donde quiera,1
quiera que,1
que este,1
este tampoco,1
tampoco te,1
te olvidara,1
Más sal,1
sal a,1
a la,1
la herida,1
Ay niña,1
Gracias por,1
por compartir,1
compartir esta,1
esta bonita,1
bonita historia,1
historia conmigo,1
Lamento tu,1
tu perdida,1
perdida y,1
y quiero,1
quiero que,2
que sepas,1
sepas que,1
que aquí,1
aquí estoy,1
estoy si,1
si necesitas,1
necesitas hablar,1
hablar o,1
o desahogarte,1
No nos,1
nos conocemos,1
conocemos tanto,1
tanto y,1
y tal,1
tal vez,1
vez no,1
no seamos,1
seamos tan,1
tan de,1
de confianza,1
confianza pero,1
pero puedes,1
puedes contar,1
contar conmigo,1
Ya no,1
no pasa,1
pasa nada,1
Olvidemos a,1
a ese,1
ese vato,1
Fue agradable,1
agradable ver,1
ver esta,1
esta otra,1
otra faceta,1
faceta de,1
de ti,1
Lo importante,1
es que,1
te diste,1
diste cuenta,1
cuenta y,1
y saliste,1
saliste de,1
de ahí,1
Imagina a,1
tu yo,1
yo del,1
del pasado,1
pasado qué,1
qué pensó,1
pensó en,1
en estar,1
estar con,1
con el,1
Y supongo,1
supongo que,1
que estas,1
estas consciente,1
consciente que,1
que habrá,1
habrá ocasiones,1
ocasiones y,1
y muchas,1
muchas ocasiones,1
ocasiones que,1
que tengas,1
tengas que,1
que quitar,1
quitar vidas,1
"vidas ,",1
", cierto",1
cierto ?,1
Que bonitooo,1
una noble,1
noble causa,1
Es que,1
que también,1
también hay,1
hay que,1
que tener,1
tener cuidado,1
que amor,1
amor no,1
Conociéndote fue,1
fue lo,1
lo que,1
que menos,1
menos le,1
bien :,1
: ),1
Como tu,1
Una familia,1
familia de,1
de naranjosos,1
Ayyyy qué,1
qué bonito,1
Se ve,1
ve que,1
lo querías,1
querías mucho,1
@ 13135550002,1
13135550002 por,1
por que,1
que los,1
los ecuatorianos,1
ecuatorianos son,1
son negros,1
negros ?,1
Te voy,1
a matar,1
https :,2
: //youtu.be/pG8ifYZJd3o,1
//youtu.be/pG8ifYZJd3o ?,1
? si=TF8rbR4lWAp32hWM,1
: //youtu.be/Zgzqn4Kntqs,1
//youtu.be/Zgzqn4Kntqs ?,1
? si=klkLV6JapxqZbsM0,1
te sacaron,1
sacaron del,1
del server,1
server se,1
se mongus,1
mongus ?,1
Por ?,1
Que le,1
le crees,1
crees a,1
a esos,1
esos pendejos,1
Y tu,1
tu PC,1
PC si,1
si corre,1
corre smite,1
smite 2,1
2 ?,1
Creo saber,1
saber quien,1
quien es,1
Nero.vcf (,1
( file,1
file attached,1
attached ),1
Entonces no,1
no me,1
me interesa,1
Presentale a,1
tu amigo,1
amigo el,1
el homosexual,1
No se,2
"se ,",1
", tienes",1
tienes alguno,1
alguno ?,1
Pero no,1
no cuesta,1
cuesta mucho,1
Abusando de,1
de tupoder,1
tupoder como,1
como fémina,1
Conoces dan,1
dan da,1
da dan,1
dan ?,1
Y que,1
que tal,1
tal ?,1
Les gustó,1
gustó ?,1
Tiene un,1
un humor,1
humor ...,1
... muy,1
muy particular,1
se en,1
donde lo,2
lo vieron,2
vieron pero,1
pero en,1
en netflix,1
netflix México,1
México tiene,1
tiene modismos,1
modismos los,1
los subtitulos,1
Esta bueno,1
Muy bueno,1
Sip pero,1
pero sin,1
sin pedos,1
pedos porque,1
porque aquí,1
aquí ese,1
ese tipo,1
tipo de,1
de cosas,1
cosas suma,1
La abuela,1
abuela fantasma,1
fantasma dijo,1
dijo algo,1
algo como,1
como ``,1
`` quiero,1
que me,1
me chupes,1
chupes la,1
la berga,1
berga '',1
O no,1
no se,1
se allá,1
allá donde,1
Que quieres,1
quieres saber,1
saber ?,1
Esa mera,1
Ni pedo,1
pedo así,1
así pasa,1
pasa cuando,1
cuando sucede,1
Ser mi,1
mi novia,1
novia ?,1
Pues prácticamente,1
prácticamente fue,1
fue ella,1
ella pero,1
pero si,1
Que quiere,1
quiere comprometerse,1
comprometerse realmente,1
realmente y,1
y cree,1
cree que,1
que estamos,1
estamos listos,1
listos para,1
para el,1
el siguiente,1
siguiente paso,1
Pues si,1
si supongo,1
Igual meh,1
Fiesta en,1
en mi,1
mi boca,1
Eh ...,1
... no,1
Nmms no,1
Ni que,1
que fuera,1
fuera tu,1
tu 3,1
3 veces,1
veces después,1
después de,1
de bañarse,1
bañarse pero,1
pero se,1
se agradece,1
